id,tweet,label
1649,Lunch was surreal .,0
4705,It offers certificates of completion for many courses .,0
3320,No amount of educational funds will drag the population out of it 's sludge .,0
6182,"No, lets stay scattered across the earth and try to change every racially unaware white across the earth ...",0
7594,The two teenagers are charged with assaulting Rose Powell last Wednesday and stealing her car .,0
8049,Light skin but dark hair ...,0
8211,"Last two times I saw , I saw zero )",0
7940,YOU do not control the lives of Whites by taking over their nations and forcing multiculturalism upon them against their will .,0
8406,"i honestly dont know what my eye color is ... they look green , but at times grey or dark blue .. sucks i cant determine my actual eye color .",0
2689,but if a guy cant do damage one can argue the guy on the bottom is controlling with the threat of submission or reversal .,0
8009,There is a survivor support page on facebook .,0
8911,High time they get back to mother Affika and fix that mess .,1
749,"Let's change subject for a while , here is a song from one of my favorite movies in last 10 years , do n't know do you like Bourne ?",0
8713,Though I have had problems at one or two that were groid infested elsewhere getting stale bread etc so will no go to any that have lotsof groids working in them .,1
2373,I think there is more threat from Russians than from Jews .,1
2442,It figures that the leftist mob that the media supports created all the violence .,0
8305,That is persecution .,0
3647,If there is dirty dancing or sexual contact report it to the principle likely there will be some and maybe they wo n't ever schedule a dance like that again .,0
2758,hi i have short hair im 5 ' 5 racist as hell im not fat im from mass theres a small group of us out here it 's so hard to new meet people with your believes im just looking to date some one who gets were im coming from are make new friends so if your out there give me a email back 88 heily : explode,0
7188,When the homos tried to have a fag pride parade in Serbia a few years ago they were beaten up .,0
5273,I am not having my cats put in a pet cemetary-they 're being interred in the same plot as I.Naturally we will probably not pass on at the same time but we 'll be sharing the plot .,0
9211,"No, I must have two or three kids and teach them to be racially-aware .",0
7624,Good for you !,0
7189,http://www.azcentral.com/news/articl...bbery1219.html,0
4353,Also it 's NOT genocide. stop calling it that .,0
5364,There is no honor in a street fight .,0
5012,"The israeli prime minister says that he thinks this is a part of the growing anti-semitism in europe , but that statement is a part of the growing anti-scandianavism in israel !",0
6128,Not just encouraging but actuallly paying them bonuses .... so a black managers in state service gets his bonus determined on how few white employees he has,0
9038,"twylytegrl-again , I live in SB , I almost went to that faire , send me a pm ?",0
4786,Questions that enable people to learn are always welcomed .,0
9826,"Pontius Pilate washed his hands , announced that he found nothing wrong and left it up to the Jews. )",0
9216,"Check out this commercial that just aired on tonight 's show : http://www.myblackisbeautiful.com/ And for the record , `` My black is returned to sender ''",0
1139,So IM me .,0
8479,"Gentlemen, I remember you that all the posts not in English will be deleted .",0
2231,"Maybe try out Red Harvest , The Berzerker and Mistress .",0
2164,I have to say I was shocked when he said the kids at his ( Junior ) school spoke 31 different languages and teachers have had to devise a system of hand signals to communicate !,0
2886,"It made it on CNN , so I 'm thinking it was probably an illegal YouTube - Lou Dobbs Reports A Gang Ripe ?",0
3963,They should be proud of their race They can admire us if they want but they should be proud of who they are,0
8638,INTJ Introvert ( 56 % ) iNtuitive ( 62 % ) iNtuitive Thinking ( 100 % ) Judging ( 56 % ) You have moderate preference of Introversion over Extraversion ( 56 % ) You have distinctive preference of Intuition over Sensing ( 62 % ) You have strong preference of Thinking over Feeling ( 100 % ) You have moderate preference of Judging over Perceiving ( 56 % ),0
2777,Im proud of my heritage .,0
6715,Dangers of government schools : exposing your kids to philosophy like this ....,0
5417,"good luck NoRemorseNoRegrets , hopefully its good news about your job and lets hope you dont become another figure in a stat !",0
1570,And they learn to socialize with all ages of people when we are out and about going to museums or whatnot .,0
172,Try here Amazon.com.,0
639,It is a fact that ninety-nine percent of those who talk of serious illegal activity are crazies or government agents .,0
2087,~ ME,0
3128,"I have read a 70 -/ + million figure , 92.5 million figure and an estimate of over 100 million figure So I compromised at 90 .",0
7290,Report : Nuclear weapon drivers sometimes got drunk - Yahoo !,0
5270,Blacks hate whites .,1
8163,``Whiteteacher puts Negro in his place ! '',0
7307,"Unfortunately, she will find it very difficult to make a living as a historian if he does n't bow down and do reverence to the Holahoax religion .",1
7153,Maybe hate crime will now apply to whites ( in an odd fashion ),0
8969,"You can come out to Calgary , we have a good group here that is very against drugs and the drug culture .",0
4791,What A Week Of Groceries Looks Like Around The World | Fstoppers,0
1832,"Hey, I am in Mesa ..",0
7379,That is because Lycurgus has been on moderation forever and should be let off .,0
4119,I came to terms with that and the fact that they are better with a spear than I will ever be .,0
9777,Well I do hope that he will not get the PM position ... neither do I want SV nor AP in the government ...,0
8095,I wonder if living in an affordable mansion would make me `` mentally infirmed '' also .,0
8016,I just hope it will be a wake up call for those who dont believe in our cause .,0
8596,"Here 's a list of some of the other derivitives : Skr . धूम ( dhūma ) , Old Prussian dumis , Russ. дым ( dym ) , Lat. fūmus , Gm. toup/toben , Gk. θυμός ( thumos ) , Toch. twe/tweye , Lith. dūmai , Ltv. dūmi , Eng. dōmian/dusk , Goth. dauns , ON daunn , Ir. dé/deathach , Welsh dywy , Oscan Mefit , Polish dym , Pers. / dud , OCS дꙑмъ ( dymŭ )",0
7371,I only hope my kids will follow the same path when they come of age .,0
834,"Normally , 110,000 to 125,000 new stores open per year .",0
2486,It has everything to do with RACE .,0
7862,Aragorn,0
4533,"you have a moral duty as an upstanding citizen and white person to have that baby removed from her wretched hands and have it be properly cared for. to hell with your degenerate friend , put your fear aside and do whats right for the baby 's sake .",0
5239,Exactly.,0
3677,Knights Of The Ku Klux Klan Youth Corps,0
9628,"I want people to be shocked about `` minority '' takeover , and to react by building community with whites where they were chicken to , before , and to have white kids .",0
5286,Hopefully they wo n't settle in US black communities and pick up their bad habits .,1
819,YouTube - Hell 's coming with me,0
65,I am White and I believe all White people know the difference between right and wrong no matter what they say about their political positions.We are facing genocide as a people and the infighting is just loved by non Whites .,1
7501,I got a little debt and i dont find it useful for finding higher paying jobs .,0
6494,"`` Would you , would you with a goat ? ''",0
2024,The update on this situation in San Francisco is that a judge rejected the idea that guns could be banned there .,0
7065,Does that make sense ?,0
354,Im going to read a lot instead this summer .,0
4630,"Which proves that they are a different people , and by any chance not Slavic .",0
4682,Norske Legion ( Norway ) - Oi !,0
7946,It should be moved to the really funny joke section .,0
1808,Awesome band back in the day !,0
7771,I 'm also looking for friends male or female .,0
4631,"I hope they did n't eat the villagers , they might have gotten food poisoning .",0
4759,"In other news , math and science scores in California and Florida schools have declined yet again .",0
8693,Just ran across this letter from Finland written by a non-racist .,0
4747,This applies to white humans as well .,0
6292,"If monkeys are on my property i call animal control and defend my family and property with whatever means possible , simply talking sense to a monkey and pointing at it will not stop it from misbehaving !",1
472,the earth is hollow ? and it 's the little elfs and their gardens and compost heaps that are producing the oil .,0
7652,Please click on the banner below to join Stormfront today .,0
3127,"TV , though .",0
6559,"The Best of West Ireland : Dingle , Galway and the Aran Islands - YouTube South Ireland : Waterford to the Ring of Kerry - YouTube Dublin and Mystical Side-Trips - YouTube Belfast and the Best of Northern Ireland - YouTube",0
6930,I very much doubt anybody else will ask me because hardly anybody else goes on like you .,0
6859,We have lucked out for a change .,0
10063,I put sports drinks in them on longer rides and keep water in the Camelback .,0
6693,I have a Bear compound bow I bought many years ago .,0
868,It is about time damn it If we keep listening to the damn Ass teachers we are going to change from Aryan to Airy Einstein is Airy want us to believe in time travel and hooking up a hose to the sky to funnel dark energy when the damn professors funneling funds and teaching Einstein 's stupidity I can prove Einstein stupid and I tried to meet David Duke to end Einstein and he did not reply Any History makers ?,0
3658,"No, I meant how to get around buying up all the land in a PLE chosen town while refusing nonwhites to buy any property in such an area , it probably would n't matter if a nonwhite bought your house before you joined a PLE .",0
8912,Get out of here !,0
8291,You 're nothing but a clown--just like Tricycle Sam .,0
1506,See the threads : Over 1800 gathered to honour Daniel !,0
8741,It has happened up to the late 90 's with Hong Kong .,0
6946,im new on here and was just wanderin if any ladies are intrested i a good oel southernman from tennessee send me a messege .,0
6925,"Check out the small northern Ontario Towns , Holtyre , Ramore , King Kirkland , Englehart , Black River ... saw one nonwhite in 5 years ( not counting the occasional native ) .",0
8532,The murder remains unpunished .,0
2770,Each lemming that hears Duke will awaken .,0
9990,I go to school in southeastern ohio now .,0
6517,16,0
6071,I 'd have no way to keep the van air conditioned at a restaurant .,0
4537,Thats pretty similar for me .,0
1075,Trigonometry http://www.pinkmonkey.com/coreconcep...jects/trig.htmCoreConceptshttp://www.catcode.com/trig/FAQaboutTrigonometryhttp://www.ping.be/~ping1339/gonio.htmIntroductiontoTrigonometryhttp://www.acts.tinet.ie/trigonometry_645.htmlAsimpleonlineTrigcourseforum.swarthmore.edu/workshops/usi/pascal Pascal 's Triangle http://www.sosmath.com/trig/trig.htmlS.O.S.Mathematicshttp://score.kings.k12.ca.us/trigonometry.html Collection of lesson plans for California math students .,0
8316,What else is new ?,0
9022,Like I said before I 'd bet 90 % + have Liberal parents .,1
8660,Thanks for posting the site info .,0
3209,Stop showing off South Asian functional illiteracy .,1
9174,Black metal is about preserving European culture and values .,0
7785,Is it any wonder why the antis laugh at us ?,0
4975,It may be on a small and local scale but I contribute every day .,0
10130,Its also worth noting that the days of the week in English are very strongly influenced by Viking occupation of the British Isles .,0
5496,Wait there is going to be anti-white people in Euro 2012 ?,0
8961,"But if White people find a user for a plant native to Africa , the negroes want a royalty .",1
6779,What are you talking about ?,0
10287,"Hey, hey now let 's not bury this so fast .",0
8949,You would be luckey to see a real Irish person on the TV these days ..,0
1602,Well what I got to hear of it was pretty cool .,0
73,Visit http://HolocaustHandbooks.com today,0
4685,Always one coming up for sale .,0
9502,Because they a vile plague on all of mankind that no one really likes .,1
10068,"hey and if you ever experience a lawsuit from the negro hispanic jews claiming you are racist , simply make an example of the hundreds of negro mexican schools that deny white children .",1
7724,"The White race is best because when the Creator made Whites , He made them better than He made the other races .",1
5066,These elementary concepts render the rest of your argument entirely invalid .,0
1101,Good.,0
4012,See.....,0
10210,Enjoy your classroom .,0
